Pivot Type,Pivot Value (a),Date (a),Pivot Value (b),Date (b),Pivot Value (c),Date (c),OP,XOP,COP
Low,30465.7,06-07-2023 05:00,30458.9,06-07-2023 08:00,30575.5,06-07-2023 12:00,30568.7,30571.3,30564.5
High,30458.9,06-07-2023 08:00,30575.5,06-07-2023 12:00,31064.7,06-07-2023 17:00,31181.3,31136.76,31253.36
Low,30575.5,06-07-2023 12:00,31064.7,06-07-2023 17:00,30196.6,06-07-2023 18:00,30685.8,30498.93,30988.13
High,31064.7,06-07-2023 17:00,30196.6,06-07-2023 18:00,30367.9,07-07-2023 03:00,29499.8,29831.41,28963.31
Low,30196.6,06-07-2023 18:00,30367.9,07-07-2023 03:00,30039.9,07-07-2023 08:00,30211.2,30145.76,30317.06
High,30367.9,07-07-2023 03:00,30039.9,07-07-2023 08:00,30196.0,07-07-2023 10:00,29868.0,29993.3,29665.3
Low,30039.9,07-07-2023 08:00,30196.0,07-07-2023 10:00,29992.9,07-07-2023 12:00,30149.0,30089.37,30245.47
High,30196.0,07-07-2023 10:00,29992.9,07-07-2023 12:00,30119.9,07-07-2023 15:00,29916.8,29994.38,29791.28
Low,29992.9,07-07-2023 12:00,30119.9,07-07-2023 15:00,30190.5,07-07-2023 17:00,30317.5,30268.99,30395.99
High,30119.9,07-07-2023 15:00,30190.5,07-07-2023 17:00,30342.3,07-07-2023 21:00,30412.9,30385.93,30456.53
Low,30190.5,07-07-2023 17:00,30342.3,07-07-2023 21:00,30155.0,08-07-2023 00:00,30306.8,30248.81,30400.61
High,30342.3,07-07-2023 21:00,30155.0,08-07-2023 00:00,30327.9,08-07-2023 04:00,30140.6,30212.15,30024.85
Low,30155.0,08-07-2023 00:00,30327.9,08-07-2023 04:00,30290.0,08-07-2023 05:00,30462.9,30396.85,30569.75
High,30327.9,08-07-2023 04:00,30290.0,08-07-2023 05:00,30261.9,08-07-2023 15:00,30224.0,30238.48,30200.58
Low,30290.0,08-07-2023 05:00,30261.9,08-07-2023 15:00,30154.7,08-07-2023 16:00,30126.6,30137.33,30109.23
High,30261.9,08-07-2023 15:00,30154.7,08-07-2023 16:00,30191.9,08-07-2023 18:00,30084.7,30125.65,30018.45
Low,30154.7,08-07-2023 16:00,30191.9,08-07-2023 18:00,30196.7,08-07-2023 19:00,30233.9,30219.69,30256.89
High,30191.9,08-07-2023 18:00,30196.7,08-07-2023 19:00,30245.4,08-07-2023 22:00,30250.2,30248.37,30253.17
Low,30196.7,08-07-2023 19:00,30245.4,08-07-2023 22:00,30100.0,09-07-2023 04:00,30148.7,30130.1,30178.8
High,30245.4,08-07-2023 22:00,30100.0,09-07-2023 04:00,30320.4,09-07-2023 06:00,30175.0,30230.54,30085.14
Low,30100.0,09-07-2023 04:00,30320.4,09-07-2023 06:00,30277.6,09-07-2023 08:00,30498.0,30413.81,30634.21
High,30320.4,09-07-2023 06:00,30277.6,09-07-2023 08:00,30249.4,09-07-2023 10:00,30206.6,30222.95,30180.15
Low,30277.6,09-07-2023 08:00,30249.4,09-07-2023 10:00,30250.0,09-07-2023 11:00,30221.8,30232.57,30204.37
High,30249.4,09-07-2023 10:00,30250.0,09-07-2023 11:00,30291.9,09-07-2023 12:00,30292.5,30292.27,30292.87
Low,30250.0,09-07-2023 11:00,30291.9,09-07-2023 12:00,30257.3,09-07-2023 15:00,30299.2,30283.19,30325.09
High,30291.9,09-07-2023 12:00,30257.3,09-07-2023 15:00,30328.0,09-07-2023 20:00,30293.4,30306.62,30272.02
Low,30257.3,09-07-2023 15:00,30328.0,09-07-2023 20:00,30279.7,09-07-2023 21:00,30350.4,30323.39,30394.09
High,30328.0,09-07-2023 20:00,30279.7,09-07-2023 21:00,30246.3,09-07-2023 23:00,30198.0,30216.45,30168.15
Low,30279.7,09-07-2023 21:00,30246.3,09-07-2023 23:00,30160.3,10-07-2023 03:00,30126.9,30139.66,30106.26
High,30246.3,09-07-2023 23:00,30160.3,10-07-2023 03:00,30144.9,10-07-2023 09:00,30058.9,30091.75,30005.75
Low,30160.3,10-07-2023 03:00,30144.9,10-07-2023 09:00,30074.0,10-07-2023 10:00,30058.6,30064.48,30049.08
High,30144.9,10-07-2023 09:00,30074.0,10-07-2023 10:00,30100.0,10-07-2023 11:00,30029.1,30056.18,29985.28
Low,30074.0,10-07-2023 10:00,30100.0,10-07-2023 11:00,30147.0,10-07-2023 17:00,30173.0,30163.07,30189.07
High,30100.0,10-07-2023 11:00,30147.0,10-07-2023 17:00,30773.2,11-07-2023 00:00,30820.2,30802.25,30849.25
Low,30147.0,10-07-2023 17:00,30773.2,11-07-2023 00:00,30282.7,11-07-2023 04:00,30908.9,30669.69,31295.89
High,30773.2,11-07-2023 00:00,30282.7,11-07-2023 04:00,30572.1,11-07-2023 06:00,30081.6,30268.97,29778.47
Low,30282.7,11-07-2023 04:00,30572.1,11-07-2023 06:00,30461.0,11-07-2023 07:00,30750.4,30639.85,30929.25
High,30572.1,11-07-2023 06:00,30461.0,11-07-2023 07:00,30429.8,11-07-2023 08:00,30318.7,30361.14,30250.04
